seed,task_id,task_type,start,task_spec
2101,30,sequence,"[9, 2, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [2, 3, 1]}, {""kind"": ""exact"", ""state"": [6, 9, 1]}, {""kind"": ""exact"", ""state"": [10, 6, 1]}], ""op"": ""SEQ""}"
2101,31,all_of,"[9, 2, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [2, 10, 1]}, {""kind"": ""exact"", ""state"": [6, 9, 1]}, {""kind"": ""exact"", ""state"": [2, 3, 1]}], ""op"": ""ALL""}"
2101,32,condition_then,"[9, 2, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 3, ""var"": 1}, {""kind"": ""exact"", ""state"": [2, 9, 0]}], ""op"": ""SEQ""}"
2101,33,sequence,"[2, 9, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [6, 10, 0]}, {""kind"": ""exact"", ""state"": [1, 4, 0]}, {""kind"": ""exact"", ""state"": [1, 9, 1]}], ""op"": ""SEQ""}"
2101,34,all_of,"[2, 9, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 8, 0]}, {""kind"": ""exact"", ""state"": [1, 4, 0]}, {""kind"": ""exact"", ""state"": [6, 10, 0]}], ""op"": ""ALL""}"
2101,35,condition_then,"[2, 9, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 10, ""var"": 1}, {""kind"": ""exact"", ""state"": [10, 5, 0]}], ""op"": ""SEQ""}"
2101,36,branch,"[6, 9, 1]","{""A"": {""kind"": ""exact"", ""state"": [7, 10, 0]}, ""B"": {""kind"": ""exact"", ""state"": [8, 7, 0]}, ""CA"": {""kind"": ""exact"", ""state"": [4, 2, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [10, 5, 0]}, ""generation_distance_A"": 15, ""generation_distance_B"": 9, ""op"": ""BRANCH""}"
2101,37,branch,"[10, 7, 0]","{""A"": {""kind"": ""exact"", ""state"": [6, 8, 0]}, ""B"": {""kind"": ""exact"", ""state"": [6, 6, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [1, 2, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [4, 5, 0]}, ""generation_distance_A"": 14, ""generation_distance_B"": 10, ""op"": ""BRANCH""}"
2101,38,branch,"[6, 9, 0]","{""A"": {""kind"": ""exact"", ""state"": [3, 7, 0]}, ""B"": {""kind"": ""exact"", ""state"": [7, 4, 0]}, ""CA"": {""kind"": ""exact"", ""state"": [5, 1, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [6, 4, 1]}, ""generation_distance_A"": 14, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2101,39,branch,"[7, 7, 0]","{""A"": {""kind"": ""exact"", ""state"": [6, 4, 1]}, ""B"": {""kind"": ""exact"", ""state"": [6, 4, 0]}, ""CA"": {""kind"": ""exact"", ""state"": [10, 9, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [10, 5, 0]}, ""generation_distance_A"": 14, ""generation_distance_B"": 9, ""op"": ""BRANCH""}"
2101,40,branch,"[3, 5, 1]","{""A"": {""kind"": ""exact"", ""state"": [4, 8, 1]}, ""B"": {""kind"": ""exact"", ""state"": [5, 3, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [3, 2, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [7, 4, 0]}, ""generation_distance_A"": 12, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2101,41,branch,"[3, 8, 1]","{""A"": {""kind"": ""exact"", ""state"": [6, 7, 1]}, ""B"": {""kind"": ""exact"", ""state"": [6, 6, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [9, 2, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [8, 5, 1]}, ""generation_distance_A"": 13, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2101,42,branch,"[5, 1, 0]","{""A"": {""kind"": ""exact"", ""state"": [5, 6, 0]}, ""B"": {""kind"": ""exact"", ""state"": [4, 4, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [10, 1, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [4, 8, 0]}, ""generation_distance_A"": 16, ""generation_distance_B"": 10, ""op"": ""BRANCH""}"
2101,43,branch,"[5, 6, 0]","{""A"": {""kind"": ""exact"", ""state"": [5, 1, 0]}, ""B"": {""kind"": ""exact"", ""state"": [2, 2, 0]}, ""CA"": {""kind"": ""exact"", ""state"": [2, 8, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [2, 6, 0]}, ""generation_distance_A"": 15, ""generation_distance_B"": 11, ""op"": ""BRANCH""}"
2101,44,branch,"[10, 6, 0]","{""A"": {""kind"": ""exact"", ""state"": [1, 7, 1]}, ""B"": {""kind"": ""exact"", ""state"": [8, 7, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [9, 9, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [2, 4, 1]}, ""generation_distance_A"": 14, ""generation_distance_B"": 9, ""op"": ""BRANCH""}"
2101,45,branch,"[6, 4, 1]","{""A"": {""kind"": ""exact"", ""state"": [1, 6, 0]}, ""B"": {""kind"": ""exact"", ""state"": [7, 10, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [8, 1, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [8, 10, 0]}, ""generation_distance_A"": 17, ""generation_distance_B"": 9, ""op"": ""BRANCH""}"
2202,0,sequence,"[3, 3, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 4, 1]}, {""kind"": ""exact"", ""state"": [7, 3, 1]}, {""kind"": ""exact"", ""state"": [10, 6, 1]}], ""op"": ""SEQ""}"
2202,1,all_of,"[3, 3, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 6, 1]}, {""kind"": ""exact"", ""state"": [7, 3, 1]}, {""kind"": ""exact"", ""state"": [5, 4, 1]}], ""op"": ""ALL""}"
2202,2,condition_then,"[3, 3, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 5, ""var"": 0}, {""kind"": ""exact"", ""state"": [9, 1, 0]}], ""op"": ""SEQ""}"
2202,3,sequence,"[9, 1, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 4, 1]}, {""kind"": ""exact"", ""state"": [7, 1, 0]}, {""kind"": ""exact"", ""state"": [4, 6, 1]}], ""op"": ""SEQ""}"
2202,4,all_of,"[9, 1, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 4, 1]}, {""kind"": ""exact"", ""state"": [10, 5, 0]}, {""kind"": ""exact"", ""state"": [7, 1, 0]}], ""op"": ""ALL""}"
2202,5,condition_then,"[9, 1, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 4, ""var"": 1}, {""kind"": ""exact"", ""state"": [4, 9, 1]}], ""op"": ""SEQ""}"
2202,6,sequence,"[3, 7, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 6, 1]}, {""kind"": ""exact"", ""state"": [5, 10, 1]}, {""kind"": ""exact"", ""state"": [8, 8, 1]}], ""op"": ""SEQ""}"
2202,7,all_of,"[3, 7, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 10, 1]}, {""kind"": ""exact"", ""state"": [9, 6, 1]}, {""kind"": ""exact"", ""state"": [9, 5, 0]}], ""op"": ""ALL""}"
2202,8,condition_then,"[3, 7, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 9, ""var"": 0}, {""kind"": ""exact"", ""state"": [7, 7, 1]}], ""op"": ""SEQ""}"
2202,9,sequence,"[4, 10, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 3, 1]}, {""kind"": ""exact"", ""state"": [5, 4, 0]}, {""kind"": ""exact"", ""state"": [4, 9, 0]}], ""op"": ""SEQ""}"
2202,10,all_of,"[4, 10, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 4, 1]}, {""kind"": ""exact"", ""state"": [8, 3, 1]}, {""kind"": ""exact"", ""state"": [5, 4, 0]}], ""op"": ""ALL""}"
2202,11,condition_then,"[4, 10, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 3, ""var"": 1}, {""kind"": ""exact"", ""state"": [7, 6, 1]}], ""op"": ""SEQ""}"
2202,12,sequence,"[9, 8, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 6, 1]}, {""kind"": ""exact"", ""state"": [7, 7, 1]}, {""kind"": ""exact"", ""state"": [8, 9, 1]}], ""op"": ""SEQ""}"
2202,13,all_of,"[9, 8, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 7, 1]}, {""kind"": ""exact"", ""state"": [4, 6, 1]}, {""kind"": ""exact"", ""state"": [9, 10, 0]}], ""op"": ""ALL""}"
2202,14,condition_then,"[9, 8, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 4, ""var"": 0}, {""kind"": ""exact"", ""state"": [8, 10, 1]}], ""op"": ""SEQ""}"
2202,15,sequence,"[7, 4, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 6, 0]}, {""kind"": ""exact"", ""state"": [7, 5, 0]}, {""kind"": ""exact"", ""state"": [7, 10, 1]}], ""op"": ""SEQ""}"
2202,16,all_of,"[7, 4, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 6, 0]}, {""kind"": ""exact"", ""state"": [8, 6, 0]}, {""kind"": ""exact"", ""state"": [7, 5, 0]}], ""op"": ""ALL""}"
2202,17,condition_then,"[7, 4, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 8, ""var"": 0}, {""kind"": ""exact"", ""state"": [9, 10, 1]}], ""op"": ""SEQ""}"
2202,18,sequence,"[5, 1, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 7, 0]}, {""kind"": ""exact"", ""state"": [3, 6, 0]}, {""kind"": ""exact"", ""state"": [10, 1, 0]}], ""op"": ""SEQ""}"
2202,19,all_of,"[5, 1, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [3, 6, 0]}, {""kind"": ""exact"", ""state"": [10, 8, 0]}, {""kind"": ""exact"", ""state"": [8, 7, 0]}], ""op"": ""ALL""}"
2202,20,condition_then,"[5, 1, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 8, ""var"": 0}, {""kind"": ""exact"", ""state"": [10, 2, 0]}], ""op"": ""SEQ""}"
2202,21,sequence,"[4, 9, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 7, 0]}, {""kind"": ""exact"", ""state"": [4, 10, 1]}, {""kind"": ""exact"", ""state"": [8, 8, 0]}], ""op"": ""SEQ""}"
2202,22,all_of,"[4, 9, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 10, 1]}, {""kind"": ""exact"", ""state"": [8, 7, 0]}, {""kind"": ""exact"", ""state"": [5, 3, 1]}], ""op"": ""ALL""}"
2202,23,condition_then,"[4, 9, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 7, ""var"": 1}, {""kind"": ""exact"", ""state"": [3, 1, 0]}], ""op"": ""SEQ""}"
2202,24,sequence,"[8, 9, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 5, 1]}, {""kind"": ""exact"", ""state"": [5, 8, 0]}, {""kind"": ""exact"", ""state"": [5, 6, 1]}], ""op"": ""SEQ""}"
2202,25,all_of,"[8, 9, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 5, 1]}, {""kind"": ""exact"", ""state"": [5, 8, 0]}, {""kind"": ""exact"", ""state"": [8, 6, 1]}], ""op"": ""ALL""}"
2202,26,condition_then,"[8, 9, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 5, ""var"": 1}, {""kind"": ""exact"", ""state"": [5, 7, 0]}], ""op"": ""SEQ""}"
2202,27,sequence,"[9, 5, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 3, 1]}, {""kind"": ""exact"", ""state"": [7, 1, 1]}, {""kind"": ""exact"", ""state"": [9, 1, 0]}], ""op"": ""SEQ""}"
2202,28,all_of,"[9, 5, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 1, 1]}, {""kind"": ""exact"", ""state"": [8, 4, 0]}, {""kind"": ""exact"", ""state"": [8, 3, 1]}], ""op"": ""ALL""}"
2202,29,condition_then,"[9, 5, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 3, ""var"": 1}, {""kind"": ""exact"", ""state"": [2, 5, 1]}], ""op"": ""SEQ""}"
2202,30,sequence,"[4, 9, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [6, 4, 1]}, {""kind"": ""exact"", ""state"": [6, 2, 0]}, {""kind"": ""exact"", ""state"": [10, 2, 1]}], ""op"": ""SEQ""}"
2202,31,all_of,"[4, 9, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [6, 2, 0]}, {""kind"": ""exact"", ""state"": [8, 4, 1]}, {""kind"": ""exact"", ""state"": [6, 4, 1]}], ""op"": ""ALL""}"
2202,32,condition_then,"[4, 9, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 4, ""var"": 1}, {""kind"": ""exact"", ""state"": [8, 6, 1]}], ""op"": ""SEQ""}"
2202,33,sequence,"[8, 7, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [6, 9, 0]}, {""kind"": ""exact"", ""state"": [7, 4, 1]}, {""kind"": ""exact"", ""state"": [4, 8, 0]}], ""op"": ""SEQ""}"
2202,34,all_of,"[8, 7, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [10, 3, 0]}, {""kind"": ""exact"", ""state"": [7, 4, 1]}, {""kind"": ""exact"", ""state"": [6, 9, 0]}], ""op"": ""ALL""}"
2202,35,condition_then,"[8, 7, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 9, ""var"": 1}, {""kind"": ""exact"", ""state"": [6, 10, 1]}], ""op"": ""SEQ""}"
2202,36,branch,"[7, 7, 1]","{""A"": {""kind"": ""exact"", ""state"": [6, 4, 0]}, ""B"": {""kind"": ""exact"", ""state"": [7, 5, 0]}, ""CA"": {""kind"": ""exact"", ""state"": [9, 10, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [7, 1, 1]}, ""generation_distance_A"": 12, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2202,37,branch,"[10, 3, 0]","{""A"": {""kind"": ""exact"", ""state"": [5, 3, 0]}, ""B"": {""kind"": ""exact"", ""state"": [4, 2, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [10, 9, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [4, 4, 1]}, ""generation_distance_A"": 13, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2202,38,branch,"[5, 8, 1]","{""A"": {""kind"": ""exact"", ""state"": [8, 10, 1]}, ""B"": {""kind"": ""exact"", ""state"": [6, 4, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [3, 6, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [4, 4, 1]}, ""generation_distance_A"": 12, ""generation_distance_B"": 7, ""op"": ""BRANCH""}"
2202,39,branch,"[4, 6, 0]","{""A"": {""kind"": ""exact"", ""state"": [8, 10, 0]}, ""B"": {""kind"": ""exact"", ""state"": [9, 7, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [4, 6, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [9, 5, 1]}, ""generation_distance_A"": 15, ""generation_distance_B"": 7, ""op"": ""BRANCH""}"
2202,40,branch,"[10, 8, 0]","{""A"": {""kind"": ""exact"", ""state"": [7, 10, 0]}, ""B"": {""kind"": ""exact"", ""state"": [10, 1, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [6, 1, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [9, 1, 0]}, ""generation_distance_A"": 14, ""generation_distance_B"": 10, ""op"": ""BRANCH""}"
2202,41,branch,"[10, 5, 0]","{""A"": {""kind"": ""exact"", ""state"": [8, 6, 0]}, ""B"": {""kind"": ""exact"", ""state"": [7, 7, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [2, 2, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [8, 6, 0]}, ""generation_distance_A"": 12, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2202,42,branch,"[7, 9, 1]","{""A"": {""kind"": ""exact"", ""state"": [9, 8, 0]}, ""B"": {""kind"": ""exact"", ""state"": [4, 7, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [3, 2, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [4, 4, 0]}, ""generation_distance_A"": 15, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2202,43,branch,"[4, 10, 1]","{""A"": {""kind"": ""exact"", ""state"": [6, 9, 1]}, ""B"": {""kind"": ""exact"", ""state"": [8, 6, 0]}, ""CA"": {""kind"": ""exact"", ""state"": [4, 2, 0]}, ""CB"": {""kind"": ""exact"", ""state"": [9, 7, 0]}, ""generation_distance_A"": 14, ""generation_distance_B"": 9, ""op"": ""BRANCH""}"
2202,44,branch,"[10, 3, 0]","{""A"": {""kind"": ""exact"", ""state"": [8, 4, 1]}, ""B"": {""kind"": ""exact"", ""state"": [5, 2, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [5, 10, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [9, 1, 0]}, ""generation_distance_A"": 13, ""generation_distance_B"": 8, ""op"": ""BRANCH""}"
2202,45,branch,"[9, 7, 0]","{""A"": {""kind"": ""exact"", ""state"": [6, 7, 0]}, ""B"": {""kind"": ""exact"", ""state"": [8, 8, 1]}, ""CA"": {""kind"": ""exact"", ""state"": [2, 1, 1]}, ""CB"": {""kind"": ""exact"", ""state"": [7, 10, 0]}, ""generation_distance_A"": 13, ""generation_distance_B"": 9, ""op"": ""BRANCH""}"
2303,0,sequence,"[10, 10]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 6]}, {""kind"": ""exact"", ""state"": [3, 7]}, {""kind"": ""exact"", ""state"": [5, 1]}], ""op"": ""SEQ""}"
2303,1,all_of,"[10, 10]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 6]}, {""kind"": ""exact"", ""state"": [3, 7]}, {""kind"": ""exact"", ""state"": [2, 9]}], ""op"": ""ALL""}"
2303,2,condition_then,"[10, 10]","{""goals"": [{""kind"": ""var_eq"", ""value"": 6, ""var"": 1}, {""kind"": ""exact"", ""state"": [2, 7]}], ""op"": ""SEQ""}"
2303,3,sequence,"[2, 4]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 5]}, {""kind"": ""exact"", ""state"": [9, 2]}, {""kind"": ""exact"", ""state"": [9, 6]}], ""op"": ""SEQ""}"
2303,4,all_of,"[2, 4]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 2]}, {""kind"": ""exact"", ""state"": [9, 5]}, {""kind"": ""exact"", ""state"": [10, 5]}], ""op"": ""ALL""}"
2303,5,condition_then,"[2, 4]","{""goals"": [{""kind"": ""var_eq"", ""value"": 9, ""var"": 0}, {""kind"": ""exact"", ""state"": [5, 3]}], ""op"": ""SEQ""}"
2303,6,sequence,"[3, 8]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 6]}, {""kind"": ""exact"", ""state"": [5, 4]}, {""kind"": ""exact"", ""state"": [7, 7]}], ""op"": ""SEQ""}"
2303,7,all_of,"[3, 8]","{""goals"": [{""kind"": ""exact"", ""state"": [10, 4]}, {""kind"": ""exact"", ""state"": [4, 6]}, {""kind"": ""exact"", ""state"": [5, 4]}], ""op"": ""ALL""}"
2303,8,condition_then,"[3, 8]","{""goals"": [{""kind"": ""var_eq"", ""value"": 4, ""var"": 0}, {""kind"": ""exact"", ""state"": [8, 6]}], ""op"": ""SEQ""}"
2303,9,sequence,"[10, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 10]}, {""kind"": ""exact"", ""state"": [7, 4]}, {""kind"": ""exact"", ""state"": [4, 10]}], ""op"": ""SEQ""}"
2303,10,all_of,"[10, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 4]}, {""kind"": ""exact"", ""state"": [9, 10]}, {""kind"": ""exact"", ""state"": [5, 9]}], ""op"": ""ALL""}"
2303,11,condition_then,"[10, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 10, ""var"": 1}, {""kind"": ""exact"", ""state"": [7, 3]}], ""op"": ""SEQ""}"
2303,12,sequence,"[1, 10]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 9]}, {""kind"": ""exact"", ""state"": [9, 10]}, {""kind"": ""exact"", ""state"": [6, 5]}], ""op"": ""SEQ""}"
2303,13,all_of,"[1, 10]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 10]}, {""kind"": ""exact"", ""state"": [7, 9]}, {""kind"": ""exact"", ""state"": [10, 2]}], ""op"": ""ALL""}"
